wikidata_link,label
http://www.wikidata.org/entity/Q1073808,functional residual capacity
http://www.wikidata.org/entity/Q1129139,renal blood flow
http://www.wikidata.org/entity/Q672828,Surface wave magnitude
http://www.wikidata.org/entity/Q724178,cent
http://www.wikidata.org/entity/Q738785,semitone
http://www.wikidata.org/entity/Q772624,Diesis
http://www.wikidata.org/entity/Q843905,circumference
http://www.wikidata.org/entity/Q111208,erythrocyte sedimentation rate
http://www.wikidata.org/entity/Q131191,body mass index
http://www.wikidata.org/entity/Q51374,Stefan–Boltzmann constant
http://www.wikidata.org/entity/Q64809,High Frame Rate
http://www.wikidata.org/entity/Q122894,Planck constant
http://www.wikidata.org/entity/Q494478,range of motion
http://www.wikidata.org/entity/Q548646,anion gap in blood
http://www.wikidata.org/entity/Q596579,cardiac output
http://www.wikidata.org/entity/Q620876,human body weight
http://www.wikidata.org/entity/Q650050,intraocular pressure
http://www.wikidata.org/entity/Q658883,serum potassium level
http://www.wikidata.org/entity/Q182333,gas constant
http://www.wikidata.org/entity/Q5997,fine-structure constant
http://www.wikidata.org/entity/Q1136213,glycosuria
http://www.wikidata.org/entity/Q1141126,C-terminal telopeptide
http://www.wikidata.org/entity/Q1273048,mean corpuscular hemoglobin concentration
http://www.wikidata.org/entity/Q1309034,forced expiratory volume in 1 second
http://www.wikidata.org/entity/Q1358504,mean corpuscular volume
http://www.wikidata.org/entity/Q1392898,cardio-thoracic ratio
http://www.wikidata.org/entity/Q1414127,pulmonary wedge pressure
http://www.wikidata.org/entity/Q1667879,ankle brachial pressure index
http://www.wikidata.org/entity/Q131774,adolescence
http://www.wikidata.org/entity/Q269492,impedance of free space
http://www.wikidata.org/entity/Q304770,Von Klitzing constant
http://www.wikidata.org/entity/Q319686,speed of gravity
http://www.wikidata.org/entity/Q476572,hartree
http://www.wikidata.org/entity/Q619546,adiabatic lapse rate
http://www.wikidata.org/entity/Q652571,Bohr radius
http://www.wikidata.org/entity/Q211702,ductility
http://www.wikidata.org/entity/Q217030,metallicity
http://www.wikidata.org/entity/Q189623,zenithal hourly rate
http://www.wikidata.org/entity/Q205880,circulation (fluid dynamics)
http://www.wikidata.org/entity/Q255119,Änderungsrate
http://www.wikidata.org/entity/Q350205,income
http://www.wikidata.org/entity/Q382783,chemical affinity
http://www.wikidata.org/entity/Q491774,tonnage
http://www.wikidata.org/entity/Q179615,salinity
http://www.wikidata.org/entity/Q186861,creep rupture strength
http://www.wikidata.org/entity/Q859031,stimulus
http://www.wikidata.org/entity/Q889514,crop yield
http://www.wikidata.org/entity/Q2623005,spacetime interval
http://www.wikidata.org/entity/Q2995540,Liquid water content
http://www.wikidata.org/entity/Q3080293,isotope fractionation
http://www.wikidata.org/entity/Q3617415,straight angle
http://www.wikidata.org/entity/Q3879445,spin quantum number
http://www.wikidata.org/entity/Q4227664,vibrational speed
http://www.wikidata.org/entity/Q4365627,Lienina Square
http://www.wikidata.org/entity/Q4669819,absolute molar mass
http://www.wikidata.org/entity/Q4769688,Annual fuel utilization efficiency
http://www.wikidata.org/entity/Q5046374,Carrier lifetime
http://www.wikidata.org/entity/Q5460163,floor area
http://www.wikidata.org/entity/Q5604179,bottomness
http://www.wikidata.org/entity/Q1711941,Wind power
http://www.wikidata.org/entity/Q1737958,Germination rate
http://www.wikidata.org/entity/Q1931528,Nominal Pipe Size
http://www.wikidata.org/entity/Q2031181,Hubble's constant
http://www.wikidata.org/entity/Q2133472,spectral flatness
http://www.wikidata.org/entity/Q2142347,environmental factor
http://www.wikidata.org/entity/Q2555508,topness
http://www.wikidata.org/entity/Q2540769,waist-to-height ratio
http://www.wikidata.org/entity/Q2803879,anti-Xa activity measurement
http://www.wikidata.org/entity/Q2964389,serum total cholesterol level
http://www.wikidata.org/entity/Q3045040,blood oxygen saturation
http://www.wikidata.org/entity/Q3068471,serum iron
http://www.wikidata.org/entity/Q3109350,CSF glucose
http://www.wikidata.org/entity/Q3144973,heparinemia
http://www.wikidata.org/entity/Q3408236,CSF total protein
http://www.wikidata.org/entity/Q3408239,serum total protein
http://www.wikidata.org/entity/Q3458125,reticulocyte count
http://www.wikidata.org/entity/Q3493813,tidal volume
http://www.wikidata.org/entity/Q3651030,faecal calprotectin
http://www.wikidata.org/entity/Q3798215,body adiposity index
http://www.wikidata.org/entity/Q3950819,arterial oxygen saturation
http://www.wikidata.org/entity/Q3963915,serum sodium level
http://www.wikidata.org/entity/Q76005,ultimate tensile strength
http://www.wikidata.org/entity/Q1698533,stroke volume
http://www.wikidata.org/entity/Q1719529,peak expiratory flow
http://www.wikidata.org/entity/Q1759415,pulse pressure
http://www.wikidata.org/entity/Q1940733,mean arterial pressure
http://www.wikidata.org/entity/Q1940759,mean corpuscular hemoglobin
http://www.wikidata.org/entity/Q1988796,FEV1/FVC ratio
http://www.wikidata.org/entity/Q2103531,Ponderal index
http://www.wikidata.org/entity/Q190402,central venous pressure
http://www.wikidata.org/entity/Q206120,lung volumes
http://www.wikidata.org/entity/Q275157,blood sugar
http://www.wikidata.org/entity/Q32021,gravitational coupling constant
http://www.wikidata.org/entity/Q44432,heat
http://www.wikidata.org/entity/Q369180,Root mean square
http://www.wikidata.org/entity/Q427356,ionic product of water
http://www.wikidata.org/entity/Q620587,apotome
http://www.wikidata.org/entity/Q623939,tritone
http://www.wikidata.org/entity/Q844840,spin-transfer torque
http://www.wikidata.org/entity/Q857201,flexural strength
http://www.wikidata.org/entity/Q858318,pyroelectricity
http://www.wikidata.org/entity/Q898288,brittleness
http://www.wikidata.org/entity/Q898401,lipophilicity
http://www.wikidata.org/entity/Q256699,permeability
http://www.wikidata.org/entity/Q309017,electrical conductance
http://www.wikidata.org/entity/Q331424,abrasion
http://www.wikidata.org/entity/Q6158,vacuum permittivity
http://www.wikidata.org/entity/Q6203,Avogadro constant
http://www.wikidata.org/entity/Q2711875,minor third
http://www.wikidata.org/entity/Q3022813,augmented sixth
http://www.wikidata.org/entity/Q3364767,diminished seventh
http://www.wikidata.org/entity/Q3740487,minor second
http://www.wikidata.org/entity/Q3742361,augmented second
http://www.wikidata.org/entity/Q3927888,augmented fifth
http://www.wikidata.org/entity/Q912214,Flow stress
http://www.wikidata.org/entity/Q1172868,fatigue limit
http://www.wikidata.org/entity/Q1396651,infrared excess
http://www.wikidata.org/entity/Q1540011,specific storage
http://www.wikidata.org/entity/Q1749922,Moisture vapor transmission rate
http://www.wikidata.org/entity/Q1884383,Tunnel magnetoresistance
http://www.wikidata.org/entity/Q1961104,Fluidity
http://www.wikidata.org/entity/Q2276012,malleability
http://www.wikidata.org/entity/Q192905,water hardness
http://www.wikidata.org/entity/Q210521,image resolution
http://www.wikidata.org/entity/Q996490,wolf fifth
http://www.wikidata.org/entity/Q1140964,True color
http://www.wikidata.org/entity/Q1230327,ditone
http://www.wikidata.org/entity/P1101,floors above ground
http://www.wikidata.org/entity/Q27058,approximation
http://www.wikidata.org/entity/Q903271,Loschmidt constant
http://www.wikidata.org/entity/Q1023483,Courant–Friedrichs–Lewy condition
http://www.wikidata.org/entity/Q1141095,Total angular momentum quantum number
http://www.wikidata.org/entity/Q1145377,Compton wavelength
http://www.wikidata.org/entity/Q1166093,nuclear magneton
http://www.wikidata.org/entity/Q2265632,magnetic flux quantum
http://www.wikidata.org/entity/Q2567685,B − L
http://www.wikidata.org/entity/Q2604926,conversion
http://www.wikidata.org/entity/Q2912520,proton-to-electron mass ratio
http://www.wikidata.org/entity/Q3109025,The Geysers
http://www.wikidata.org/entity/Q3262690,electrical conduction
http://www.wikidata.org/entity/Q3676413,cycles per instruction
http://www.wikidata.org/entity/Q192819,Faraday constant
http://www.wikidata.org/entity/Q658065,Rydberg constant
http://www.wikidata.org/entity/Q678322,Weak isospin
http://www.wikidata.org/entity/Q737120,Bohr magneton
http://www.wikidata.org/entity/Q167,pi
http://www.wikidata.org/entity/Q3257842,logD
http://www.wikidata.org/entity/Q3363554,deceleration parameter
http://www.wikidata.org/entity/Q3419689,mass-to-light ratio
http://www.wikidata.org/entity/Q3503313,power density
http://www.wikidata.org/entity/Q3900742,formula weight
http://www.wikidata.org/entity/Q3983428,tenebrescence
http://www.wikidata.org/entity/Q4538627,brightness temperature
http://www.wikidata.org/entity/Q4112587,Vice lantråd
http://www.wikidata.org/entity/Q4820444,augmented octave
http://www.wikidata.org/entity/Q4820447,augmented seventh
http://www.wikidata.org/entity/Q4820449,augmented third
http://www.wikidata.org/entity/Q4820455,augmented unison
http://www.wikidata.org/entity/Q4960303,Breedsma
http://www.wikidata.org/entity/Q5034494,сapacity of a set
http://www.wikidata.org/entity/Q5251771,Degeneracy
http://www.wikidata.org/entity/Q5277371,diminished fourth
http://www.wikidata.org/entity/Q353298,wear resistance
http://www.wikidata.org/entity/Q356865,adiabasie
http://www.wikidata.org/entity/Q472074,plasticity
http://www.wikidata.org/entity/Q507234,fatigue
http://www.wikidata.org/entity/Q5693253,heat capacity rate
http://www.wikidata.org/entity/Q7115956,oxygen permeability
http://www.wikidata.org/entity/Q7265671,Q value
http://www.wikidata.org/entity/Q7833739,Transactions per second
http://www.wikidata.org/entity/Q7833972,Transepidermal water loss
http://www.wikidata.org/entity/Q11696597,wind power in Belarus
http://www.wikidata.org/entity/Q12049177,Specific Gravity
http://www.wikidata.org/entity/Q12056477,storativity
http://www.wikidata.org/entity/Q12142893,rate of liquid flow
http://www.wikidata.org/entity/Q13400897,standard gravity
http://www.wikidata.org/entity/Q13433825,emotional quotient
http://www.wikidata.org/entity/Q75384,transmission coefficient
http://www.wikidata.org/entity/Q193796,imaginary unit
http://www.wikidata.org/entity/Q5277372,diminished octave
http://www.wikidata.org/entity/Q5277374,diminished second
http://www.wikidata.org/entity/Q5277375,diminished sixth
http://www.wikidata.org/entity/Q5747059,Canciller mayor de Castilla
http://www.wikidata.org/entity/Q6738339,major fourth
http://www.wikidata.org/entity/Q7003016,neutral seventh
http://www.wikidata.org/entity/Q7003018,neutral sixth
http://www.wikidata.org/entity/Q7003023,neutral second
http://www.wikidata.org/entity/Q7003029,neutral third
http://www.wikidata.org/entity/Q7120300,PRF advantage
http://www.wikidata.org/entity/Q7157199,Pea shooting
http://www.wikidata.org/entity/Q7254438,pseudo-octave
http://www.wikidata.org/entity/Q7631678,Subminor interval
http://www.wikidata.org/entity/Q11529495,Matsuzaka Generation
http://www.wikidata.org/entity/Q81182,absolute zero
http://www.wikidata.org/entity/Q113060,valuation ratio
http://www.wikidata.org/entity/Q177348,As the crow flies
http://www.wikidata.org/entity/Q178895,air–fuel ratio
http://www.wikidata.org/entity/Q1347489,Epogdoon
http://www.wikidata.org/entity/Q1501297,Millioctave
http://www.wikidata.org/entity/Q1639737,Limma
http://www.wikidata.org/entity/Q1801010,minor sixth
http://www.wikidata.org/entity/Q1971526,harmonic seventh
http://www.wikidata.org/entity/Q1999959,Cashflow ratio
http://www.wikidata.org/entity/Q2069949,Urban density
http://www.wikidata.org/entity/Q2331108,septimal minor third
http://www.wikidata.org/entity/Q2640962,minor seventh
http://www.wikidata.org/entity/Q3979553,Total iron-binding capacity
http://www.wikidata.org/entity/Q4006450,uricosuria
http://www.wikidata.org/entity/Q4128476,birth weight
http://www.wikidata.org/entity/Q4210589,urinary calcium
http://www.wikidata.org/entity/Q4381136,blood flow
http://www.wikidata.org/entity/Q4536280,NC ratio
http://www.wikidata.org/entity/Q4581951,Capillary refill
http://www.wikidata.org/entity/Q4669824,Absolute neutrophil count
http://www.wikidata.org/entity/Q4778759,aortic pressure
http://www.wikidata.org/entity/Q4797550,Arteriovenous oxygen difference
http://www.wikidata.org/entity/Q4907802,bilirubinuria
http://www.wikidata.org/entity/Q5013244,CO2 content
http://www.wikidata.org/entity/Q5014086,CSF/serum glucose ratio
http://www.wikidata.org/entity/Q5014087,CSF/serum albumin ratio
http://www.wikidata.org/entity/Q5014091,CSF albumin
http://www.wikidata.org/entity/Q5422189,extraction ratio
http://www.wikidata.org/entity/Q5449277,filtration fraction
http://www.wikidata.org/entity/Q5477558,fractional excretion of sodium
http://www.wikidata.org/entity/Q4516333,Chandrasekhar number
http://www.wikidata.org/entity/Q4817337,atomic mass constant
http://www.wikidata.org/entity/Q5368536,state of charge
http://www.wikidata.org/entity/Q6047623,Sommerfeld number
http://www.wikidata.org/entity/Q6895682,molar mass constant
http://www.wikidata.org/entity/Q6944187,mutual capacitance
http://www.wikidata.org/entity/Q7196620,pion decay constant
http://www.wikidata.org/entity/Q7783163,thermodynamic process path
http://www.wikidata.org/entity/Q7941479,Von Kármán constant
http://www.wikidata.org/entity/Q9855158,Coulomb's constant
http://www.wikidata.org/entity/Q10843113,Wien wavelength displacement law constant
http://www.wikidata.org/entity/Q11282513,Einstein's constant
http://www.wikidata.org/entity/Q70718,Swiss Community Identification Number
http://www.wikidata.org/entity/Q322344,deflection frequency
http://www.wikidata.org/entity/Q333047,Abstandsauflage
http://www.wikidata.org/entity/Q358580,average propensity to save
http://www.wikidata.org/entity/Q370089,Herfindahl index
http://www.wikidata.org/entity/Q370662,Bodenstein number
http://www.wikidata.org/entity/Q372765,credit rating
http://www.wikidata.org/entity/Q428867,abundance of the chemical elements
http://www.wikidata.org/entity/Q898797,partition coefficient
http://www.wikidata.org/entity/Q899301,yield
http://www.wikidata.org/entity/Q899628,thermal resistance
http://www.wikidata.org/entity/Q902458,Shear thinning
http://www.wikidata.org/entity/Q569057,stiffness
http://www.wikidata.org/entity/Q739293,barotropic fluid
http://www.wikidata.org/entity/Q836938,isospin
http://www.wikidata.org/entity/Q209875,binomial coefficient
http://www.wikidata.org/entity/Q273023,Euler–Mascheroni constant
http://www.wikidata.org/entity/Q903814,specific strength
http://www.wikidata.org/entity/Q907364,polymorphism
http://www.wikidata.org/entity/Q907564,electrolytic conductivity
http://www.wikidata.org/entity/Q908990,volatility
http://www.wikidata.org/entity/Q23003,Community Identification Number
http://www.wikidata.org/entity/Q38994,Human Development Index
http://www.wikidata.org/entity/Q898781,Madelung constant
http://www.wikidata.org/entity/Q900231,work
http://www.wikidata.org/entity/Q5459047,flexural modulus
http://www.wikidata.org/entity/Q5609556,grip
http://www.wikidata.org/entity/Q5939736,yield stress
http://www.wikidata.org/entity/Q10359848,structural robustness
http://www.wikidata.org/entity/Q11567495,colorlessness
http://www.wikidata.org/entity/Q507,googol
http://www.wikidata.org/entity/Q248310,ignition voltage
http://www.wikidata.org/entity/Q270952,cold
http://www.wikidata.org/entity/Q319030,Abendweite
http://www.wikidata.org/entity/Q1196193,crop factor
http://www.wikidata.org/entity/Q1268559,magnitude of eclipse
http://www.wikidata.org/entity/Q1326177,Shockley–Queisser limit
http://www.wikidata.org/entity/Q1340031,Euler number
http://www.wikidata.org/entity/Q1426175,flatness
http://www.wikidata.org/entity/Q1443434,instructions per cycle
http://www.wikidata.org/entity/Q12894628,softness
http://www.wikidata.org/entity/Q13365548,graphics display resolution
http://www.wikidata.org/entity/Q16635541,absorptance
http://www.wikidata.org/entity/Q17103104,Mandel Q Parameter
http://www.wikidata.org/entity/Q17176562,thermal conductance
http://www.wikidata.org/entity/Q17334923,location
http://www.wikidata.org/entity/Q946764,Natural frequency
http://www.wikidata.org/entity/Q1022987,VIX
http://www.wikidata.org/entity/Q1148384,leverage
http://www.wikidata.org/entity/Q1261772,Environmental Performance Index
http://www.wikidata.org/entity/Q1320926,SAIDI
http://www.wikidata.org/entity/Q21468025,minor tenth
http://www.wikidata.org/entity/Q21469983,major ninth
http://www.wikidata.org/entity/Q21470095,major tenth
http://www.wikidata.org/entity/Q21470119,minor thirteenth
http://www.wikidata.org/entity/Q21470121,major thirteenth
http://www.wikidata.org/entity/Q21480247,pOH
http://www.wikidata.org/entity/Q24736085,Member of the General Council of Bucharest
http://www.wikidata.org/entity/Q25499149,perfect octave
http://www.wikidata.org/entity/Q60740341,vertical position
http://www.wikidata.org/entity/Q65956716,milliequivalents per liter
http://www.wikidata.org/entity/Q88008792,zero point of the Celsius temperature
http://www.wikidata.org/entity/Q88871689,standard amount-of-substance concentration
http://www.wikidata.org/entity/Q124313,apparent magnitude
http://www.wikidata.org/entity/Q12372854,perfect fifth
http://www.wikidata.org/entity/Q12374823,major sixth
http://www.wikidata.org/entity/Q12375546,major third
http://www.wikidata.org/entity/Q12375580,augmented fourth
http://www.wikidata.org/entity/Q2750134,sidecar wheel lead
http://www.wikidata.org/entity/Q3150385,Hart-Becking index
http://www.wikidata.org/entity/Q3311268,absolute hot
http://www.wikidata.org/entity/Q3449453,Draper point
http://www.wikidata.org/entity/Q3517823,half-life temperature
http://www.wikidata.org/entity/Q3517826,sublimation temperature
http://www.wikidata.org/entity/Q3773097,aridity index
http://www.wikidata.org/entity/Q4050070,State of health
http://www.wikidata.org/entity/Q4196458,Global Innovation Index
http://www.wikidata.org/entity/Q4196491,Gender Inequality Index
http://www.wikidata.org/entity/Q4200716,Industrial production index
http://www.wikidata.org/entity/Q4200721,Ibrahim Index of African Governance
http://www.wikidata.org/entity/Q4822597,Depth of discharge
http://www.wikidata.org/entity/Q5186781,Criticality index
http://www.wikidata.org/entity/Q5638576,Hagedorn temperature
http://www.wikidata.org/entity/Q6544580,Life-cycle greenhouse-gas emissions of energy sources
http://www.wikidata.org/entity/Q18352621,Antifragility
http://www.wikidata.org/entity/Q41853520,hydrophilicity
http://www.wikidata.org/entity/Q41854968,hydrophobicity
http://www.wikidata.org/entity/Q46997943,flexibility
http://www.wikidata.org/entity/Q48469016,internal pressure
http://www.wikidata.org/entity/Q5508928,Fundal height
http://www.wikidata.org/entity/Q6085637,venous blood pressure
http://www.wikidata.org/entity/Q6577969,erythrocyte index
http://www.wikidata.org/entity/Q6658217,Liver span
http://www.wikidata.org/entity/Q6803639,mean platelet volume
http://www.wikidata.org/entity/Q7201783,Plasma osmolality
http://www.wikidata.org/entity/Q7231497,portal venous pressure
http://www.wikidata.org/entity/Q7259520,pulmonary artery pressure
http://www.wikidata.org/entity/Q7312486,renal clearance ratio
http://www.wikidata.org/entity/Q7900627,Urine anion gap
http://www.wikidata.org/entity/Q7900633,Urine osmolality
http://www.wikidata.org/entity/Q7900635,urine sodium
http://www.wikidata.org/entity/Q7920320,ventricular pressure
http://www.wikidata.org/entity/Q8026178,Winter's formula
http://www.wikidata.org/entity/Q9062560,arterial blood pressure
http://www.wikidata.org/entity/Q9338092,adjusted neck circumference score
http://www.wikidata.org/entity/Q11344245,Broca Index
http://www.wikidata.org/entity/Q12559031,potential
http://www.wikidata.org/entity/Q13570090,conductance quantum
http://www.wikidata.org/entity/Q15211908,energy transfer
http://www.wikidata.org/entity/Q18564568,optical permeability
http://www.wikidata.org/entity/Q19967663,shear
http://www.wikidata.org/entity/Q24714833,volatile random-access memory capacity
http://www.wikidata.org/entity/Q25906188,arid capacity
http://www.wikidata.org/entity/Q27350076,decay constant
http://www.wikidata.org/entity/Q28003216,Planck acceleration
http://www.wikidata.org/entity/Q30601968,color index
http://www.wikidata.org/entity/Q56297898,nuclear reaction rate
http://www.wikidata.org/entity/Q56320535,Zwietering's constant
http://www.wikidata.org/entity/Q64876327,vertical separation
http://www.wikidata.org/entity/Q69189081,Avogadro number
http://www.wikidata.org/entity/Q69428534,x-ray exposure
http://www.wikidata.org/entity/Q69428825,gamma-ray exposure
http://www.wikidata.org/entity/Q87544623,reference sound exposure
http://www.wikidata.org/entity/Q15028629,perfect fourth
http://www.wikidata.org/entity/Q16210400,Tarika-e-Maizbhandari
http://www.wikidata.org/entity/Q17025195,minor fifth
http://www.wikidata.org/entity/Q17442397,major second
http://www.wikidata.org/entity/Q17452439,major seventh
http://www.wikidata.org/entity/Q19890915,Open Sea
http://www.wikidata.org/entity/Q21402295,minor ninth
http://www.wikidata.org/entity/Q188364,standing wave ratio
http://www.wikidata.org/entity/Q191073,Curie temperature
http://www.wikidata.org/entity/Q223639,price elasticity
http://www.wikidata.org/entity/Q1050038,10^24
http://www.wikidata.org/entity/Q2816939,4294967296
http://www.wikidata.org/entity/Q3704508,10^60
http://www.wikidata.org/entity/Q4587955,10^36
http://www.wikidata.org/entity/Q5370245,10^52
http://www.wikidata.org/entity/Q2305173,chirality
http://www.wikidata.org/entity/Q2510107,magnetic Prandtl number
http://www.wikidata.org/entity/Q2593282,Antiferroelectricity
http://www.wikidata.org/entity/Q2783041,hydraulic conductivity
http://www.wikidata.org/entity/Q3132911,phases of Venus
http://www.wikidata.org/entity/Q3236003,hardness
http://www.wikidata.org/entity/Q12378925,diminished fifth
http://www.wikidata.org/entity/Q12378926,diminished third
http://www.wikidata.org/entity/Q12538706,display resolution
http://www.wikidata.org/entity/Q13221615,whole tone
http://www.wikidata.org/entity/Q1515261,vacuum permeability
http://www.wikidata.org/entity/Q1638718,Hurst exponent
http://www.wikidata.org/entity/Q1775715,Oort constants
http://www.wikidata.org/entity/Q2115969,reduced Planck constant
http://www.wikidata.org/entity/Q2152581,classical electron radius
http://www.wikidata.org/entity/Q159653,absolute magnitude
http://www.wikidata.org/entity/Q1330108,ultraviolet index
http://www.wikidata.org/entity/Q1361106,energy returned on energy invested
http://www.wikidata.org/entity/Q1421262,Sun Protection Factor
http://www.wikidata.org/entity/Q1628853,Horowitz index
http://www.wikidata.org/entity/Q1654920,total expense ratio
http://www.wikidata.org/entity/Q1931676,500 kHz
http://www.wikidata.org/entity/Q2031068,K Niveau
http://www.wikidata.org/entity/Q2491630,SAIFI
http://www.wikidata.org/entity/Q2630344,Composite Index of National Capability
http://www.wikidata.org/entity/Q709277,uptime
http://www.wikidata.org/entity/Q813841,time control
http://www.wikidata.org/entity/Q891539,Bolometric magnitude
http://www.wikidata.org/entity/Q199,1
http://www.wikidata.org/entity/Q28529973,at rest
http://www.wikidata.org/entity/Q48816363,Lamb vector
http://www.wikidata.org/entity/Q555066,visual acuity
http://www.wikidata.org/entity/Q21272563,right ventricular pressure
http://www.wikidata.org/entity/Q42015775,systolic blood pressure
http://www.wikidata.org/entity/Q42015777,diastolic blood pressure
http://www.wikidata.org/entity/Q42951734,arterial oxygen partial pressure
http://www.wikidata.org/entity/Q42952678,arterial blood pH
http://www.wikidata.org/entity/Q42956347,peripheral oxygen saturation
http://www.wikidata.org/entity/Q44702233,fractional excretion of potassium
http://www.wikidata.org/entity/Q47519781,pulmonary to systemic flow ratio
http://www.wikidata.org/entity/Q47519834,left atrial pressure
http://www.wikidata.org/entity/Q13446392,buffer capacity
http://www.wikidata.org/entity/Q15230792,intrinsic brightness
http://www.wikidata.org/entity/Q17121302,Wigner–Seitz radius
http://www.wikidata.org/entity/Q28912964,standard atomic weight
http://www.wikidata.org/entity/Q28913027,conventional atomic weight
http://www.wikidata.org/entity/Q42315784,45° angle
http://www.wikidata.org/entity/Q65965920,block
http://www.wikidata.org/entity/Q80913172,45th parallel
http://www.wikidata.org/entity/Q83500251,EN 1.4057 / EN X17CrNi17-2 / AISI 431 Martensitic Stainless Steel
http://www.wikidata.org/entity/Q43016,1000
http://www.wikidata.org/entity/Q6100454,100000000
http://www.wikidata.org/entity/Q6100773,10^16
http://www.wikidata.org/entity/Q6100873,10^20
http://www.wikidata.org/entity/Q5330,impact factor
http://www.wikidata.org/entity/Q920601,first moment of area
http://www.wikidata.org/entity/Q1191684,Landé g-factor
http://www.wikidata.org/entity/Q1253369,downtime
http://www.wikidata.org/entity/Q1322559,photographic magnitude
http://www.wikidata.org/entity/Q1747087,consultation-hours
http://www.wikidata.org/entity/Q3055341,Bekenstein-Hawking entropy
http://www.wikidata.org/entity/Q17009773,Earth's internal heat budget
http://www.wikidata.org/entity/Q26162545,square centimetre per second
http://www.wikidata.org/entity/Q26162587,micropascal second
http://www.wikidata.org/entity/Q28469754,forty-fourth
http://www.wikidata.org/entity/Q28469755,forty-fifth
http://www.wikidata.org/entity/Q28469756,forty-sixth
http://www.wikidata.org/entity/Q28469757,forty-seventh
http://www.wikidata.org/entity/Q28469758,forty-eighth
http://www.wikidata.org/entity/Q28469759,forty-ninth
http://www.wikidata.org/entity/Q28469760,fiftieth
http://www.wikidata.org/entity/Q28469761,fifty-first
http://www.wikidata.org/entity/Q28469762,fifty-second
http://www.wikidata.org/entity/Q28469763,fifty-third
http://www.wikidata.org/entity/Q28469764,fifty-fourth
http://www.wikidata.org/entity/Q28469765,fifty-fifth
http://www.wikidata.org/entity/Q28469766,fifty-sixth
http://www.wikidata.org/entity/Q28469767,fifty-seventh
http://www.wikidata.org/entity/Q28469768,fifty-eighth
http://www.wikidata.org/entity/Q28469769,fifty-ninth
http://www.wikidata.org/entity/Q28469770,sixtieth
http://www.wikidata.org/entity/Q28469771,sixty-first
